pairing_key,dataset_name,dataset_config,source_split,duplication_count,source_id,source_title,source_meta,source_hash,target_len,span_slot,target_start_token_idx,target_end_token_idx,target_text,target_token_ids,half_prefix_len,half_suffix_len,prefix_mode,natural_prefix_fracs,selected_prefix_lens
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Dublin riot.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Dublin riot.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Dublin riot.txt"", ""duplicates"": 0}",191b6892e33cd721d6bb71fe28f8ba90,50,start0,0,50,"In the hours following the stabbings, far-right activists used social media and messaging apps to spread public anger over immigration. At a later point, the suspect was identified as Riad Bouchaker, originally from Algeria; he has been","[688, 253, 3038, 1563, 253, 331, 8902, 723, 13, 2080, 14, 918, 18158, 908, 2675, 3420, 285, 29908, 11222, 281, 5195, 1345, 12700, 689, 13163, 15, 2058, 247, 1996, 1127, 13, 253, 9101, 369, 3636, 347, 37491, 324, 378, 9764, 4584, 13, 8927, 432, 36364, 571, 28, 344, 556, 644]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Ecuadorian political crisis.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Ecuadorian political crisis.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Ecuadorian political crisis.txt"", ""duplicates"": 0}",807ca7553c2a670788242032d0b16c0b,50,start0,0,50,"==\n\n\n=== Pandora Papers ===\nPresident Guillermo Lasso faced various challenges regarding reported corruption during his tenure of two years. In the Pandora Papers leak by the International Consortium of Investigative Journalists (ICIJ), Lasso faced","[381, 535, 187, 16536, 29347, 6464, 28182, 11013, 187, 20349, 3262, 408, 48777, 418, 26341, 11372, 2710, 7881, 5001, 2361, 16933, 1309, 521, 28135, 273, 767, 1107, 15, 496, 253, 29347, 6464, 28182, 13584, 407, 253, 5625, 42849, 273, 32668, 800, 9109, 1346, 313, 1864, 25696, 582, 418, 26341, 11372]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Gabonese coup d'e\u0301tat.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Gabonese coup d'e\u0301tat.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Gabonese coup d'e\u0301tat.txt"", ""duplicates"": 0}",05be2945af4a7ecaba5b0eee32c6bda1,50,start0,0,50,"== Reactions ==\n\n\n=== Domestic ===\nFollowing the announcement of the coup, celebrations broke out in the streets of Libreville and in other cities across the country. The Port of Libreville suspended operations.\nA spokesman for the opposition","[381, 1720, 3518, 2295, 535, 187, 16536, 48796, 11013, 187, 17588, 253, 15687, 273, 253, 17625, 13, 41044, 9377, 562, 275, 253, 10198, 273, 9271, 250, 6169, 285, 275, 643, 8238, 2439, 253, 2586, 15, 380, 6162, 273, 9271, 250, 6169, 14116, 5871, 15, 187, 34, 18082, 323, 253, 10266]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 IBA Men's World Boxing Championships.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 IBA Men's World Boxing Championships.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 IBA Men's World Boxing Championships.txt"", ""duplicates"": 0}",386413dd4c173d7aaacac061debac48a,50,start0,0,50,"for medals in 13 weight categories, which were approved by the Board of Directors of the International Boxing Association (IBA) in July 2021.\n\n\n== Prize money ==\nGold medallists received $200,000, with silver medall","[1542, 40615, 275, 2145, 2801, 9050, 13, 534, 497, 7012, 407, 253, 5986, 273, 36600, 273, 253, 5625, 14423, 272, 7115, 313, 5472, 34, 10, 275, 4163, 43425, 15, 535, 187, 381, 21803, 2583, 2295, 187, 22526, 1129, 455, 1346, 2959, 370, 1518, 13, 933, 13, 342, 9711, 1129, 455]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Israeli judicial reform.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Israeli judicial reform.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Israeli judicial reform.txt"", ""duplicates"": 0}",785e70a7237d35c4c14b1644029096e6,50,start0,0,50,"of a law passed by an elected government should be exceptional (even if it contradicts existing Basic Laws), and if several judges do not decide to nullify the newer contradicting law, the will of the elected government should prevail.\nThe proposed legislation argues","[1171, 247, 1569, 4817, 407, 271, 10544, 2208, 943, 320, 18714, 313, 9154, 604, 352, 40878, 5368, 20233, 28856, 582, 285, 604, 2067, 16006, 513, 417, 7617, 281, 3635, 1419, 253, 21629, 17343, 272, 1569, 13, 253, 588, 273, 253, 10544, 2208, 943, 30950, 15, 187, 510, 4081, 10843, 8219]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Kuwaiti general election.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Kuwaiti general election.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Kuwaiti general election.txt"", ""duplicates"": 0}",526455b3c86399c497e975b693b3cd63,50,start0,0,50,"headquarter where they could organize daily rallies.\nIn terms of political groups, Hadas announced that Osama Al-Shaheen, Abdulaziz Al-Saqabi and Hamad Al-Matar were officially representing them in the","[2522, 35443, 835, 597, 812, 23968, 5312, 49727, 15, 187, 688, 2426, 273, 3569, 2390, 13, 14136, 284, 6138, 326, 14183, 2902, 1219, 14, 2809, 66, 248, 257, 13, 39509, 1370, 478, 1219, 14, 26116, 82, 18754, 285, 5516, 324, 1219, 14, 9547, 274, 497, 15335, 9999, 731, 275, 253]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Lake Huron high-altitude object.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Lake Huron high-altitude object.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Lake Huron high-altitude object.txt"", ""duplicates"": 0}",6430b8b649c7d6ee17e0599a86962253,50,start0,0,50,"of the object since the morning of February 12, and that ""Based on its flight path and data we can reasonably connect this object to the radar signal picked up over Montana, which flew in proximity to sensitive DOD sites"".\n\n\n== Shoot","[1171, 253, 1789, 1580, 253, 4131, 273, 5080, 1249, 13, 285, 326, 346, 15545, 327, 697, 8630, 1854, 285, 941, 359, 476, 12054, 4684, 436, 1789, 281, 253, 22013, 2625, 5055, 598, 689, 27540, 13, 534, 18811, 275, 18326, 281, 7996, 399, 3519, 4375, 3446, 535, 187, 381, 1608, 1412]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Nigerien coup d'e\u0301tat.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Nigerien coup d'e\u0301tat.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Nigerien coup d'e\u0301tat.txt"", ""duplicates"": 0}",7d658ef984be275c4dc56d80d7f1bb0b,50,start0,0,50,"leaders and officials such as French President Emmanuel Macron, UN Secretary-General António Guterres, AU Commissioner Moussa Faki, and US Secretary of State Antony Blinken. However, a former advisor to Baz","[282, 16208, 285, 6338, 824, 347, 5112, 3918, 49765, 5602, 1406, 13, 7379, 9526, 14, 13425, 9422, 3876, 900, 443, 18696, 373, 13, 29352, 15605, 353, 528, 6678, 401, 11938, 13, 285, 1982, 9526, 273, 2418, 12705, 90, 2071, 750, 257, 15, 1723, 13, 247, 3438, 31149, 281, 378, 1370]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Prague shootings.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Prague shootings.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Prague shootings.txt"", ""duplicates"": 0}",118add6f82eb9cf8cfcb23701c92b7c4,50,start0,0,50,"Republic adheres to the European Firearms Directive and legal accessibility of firearms is comparable to other EU countries. In 2021, a constitutional amendment to the country's Charter of Fundamental Rights and Freedoms codified the citizens' right to defend themselves","[32050, 519, 14210, 281, 253, 5284, 8726, 15326, 14513, 422, 285, 4320, 28092, 273, 27050, 310, 10870, 281, 643, 8215, 4343, 15, 496, 43425, 13, 247, 10281, 15129, 281, 253, 2586, 434, 36729, 273, 10980, 27569, 12484, 285, 8377, 264, 3056, 12738, 1245, 253, 7815, 8, 987, 281, 2342, 3746]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Serbian protests.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Serbian protests.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Serbian protests.txt"", ""duplicates"": 0}",2fb0367f878fe717fb4f263df9e33888,50,start0,0,50,"be accepted. Radomir Lazović, the Do not let Belgrade drown representative, announced that the demand to hold a session in the National Assembly on the issue regarding the shootings was accepted on 12 May. The session began on 18","[1257, 7607, 15, 7754, 297, 343, 418, 1370, 729, 23287, 13, 253, 3166, 417, 1339, 6512, 7698, 277, 2924, 8612, 13, 6138, 326, 253, 4831, 281, 2186, 247, 6874, 275, 253, 3313, 14184, 327, 253, 2523, 5001, 253, 42509, 369, 7607, 327, 1249, 2552, 15, 380, 6874, 3407, 327, 1283]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Venezuelan referendum.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Venezuelan referendum.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Venezuelan referendum.txt"", ""duplicates"": 0}",a28c19ec4212661646e154a7e43ffbe5,50,start0,0,50,"to resolve the territorial controversy over Guayana Esequiba?""\n""Do you agree to oppose, by all legal means, Guyana's claim to unilaterally dispose of a sea pending delimitation, illegally and in violation of international law?""","[936, 11322, 253, 32169, 16305, 689, 3262, 333, 3230, 444, 2346, 33068, 865, 187, 3, 4045, 368, 5194, 281, 25437, 13, 407, 512, 4320, 2097, 13, 22757, 3230, 434, 1750, 281, 440, 300, 37313, 35125, 273, 247, 6150, 13910, 38352, 3535, 13, 30060, 285, 275, 8411, 273, 5213, 1569, 865]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 in Bangladesh.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 in Bangladesh.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 in Bangladesh.txt"", ""duplicates"": 0}",5a11985e68fae8aa6a8cf9446bb668ac,50,start0,0,50,24th Cabinet Secretary of Bangladesh after his predecessor Kabir Bin Anwar went into Post Retirement Leave serving for the shortest period of time as Cabinet Secretary of Bangladesh.\n4 January – By-election held in Gaibandha-5 parliamentary constituency,"[1348, 394, 32098, 9526, 273, 29310, 846, 521, 28934, 40566, 343, 28494, 743, 7523, 2427, 715, 5779, 6724, 36728, 28593, 9417, 323, 253, 30505, 2180, 273, 673, 347, 32098, 9526, 273, 29310, 15, 187, 21, 4247, 1108, 2896, 14, 24508, 2918, 275, 12146, 487, 395, 3227, 14, 22, 30566, 37288]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 in Mali.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 in Mali.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 in Mali.txt"", ""duplicates"": 0}",e7f76396cef1e850234b7bee54a522a9,50,start0,0,50,"people are killed and several others are injured when two passenger buses collide with a truck between Fana and Konobougou.\nJune 18 – 2023 Malian constitutional referendum: Malians vote on a referendum that, among other things, would","[13174, 403, 5339, 285, 2067, 2571, 403, 11062, 672, 767, 15828, 23444, 3007, 504, 342, 247, 9988, 875, 401, 3230, 285, 21928, 706, 529, 276, 15, 187, 18948, 1283, 1108, 1384, 1508, 5979, 757, 10281, 26479, 27, 5979, 2458, 6273, 327, 247, 26479, 326, 13, 2190, 643, 1841, 13, 651]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
